company_name,gmaps_rating,gmaps_reviews,gmaps_status,gmaps_category
თ.ვ.გ. და კომპანია,5.0,0,found,სამშენებლო კომპანია
საპროექტო–სამშენებლო კომპანია სფინქსი,5.0,0,found,სამშენებლო კომპანია
აღმშენებლობა,5.0,0,found,სამშენებლო კომპანია
თბილი სახლი–2009,5.0,15,found,
სამშენებლო კომპანია თბილისი,,0,not_found,
სუპერ-V,5.0,0,found,სამშენებლო კომპანია
გონი,5.0,1,found,
ლგ კონსტრაქშენ,3.0,0,found,
ექსპრესსერვისი 2008,5.0,0,open,
ემ ბი ჯი ჯგუფი,5.0,5,found,
გონიო,5.0,1,found,
სამშენებლო კომპანია სმარტ სოლუშენს,5.0,0,open,სამშენებლო კომპანია
ალტერო +,5.0,0,found,
შპს ლნ – არქიტექტურა და მშენებლობის ტექნიკური ზედამხედველობა,5.0,0,open,სამშენებლო კომპანია
ვინჩი დეველოპმენტი,,0,not_found,
კახი ჯგუფი,5.0,0,open,
გეო თაუერი,5.0,0,found,
ეკრანი,5.0,0,open,
ტექტონი,5.0,0,found,სამშენებლო კომპანია
ჯი თი კომპანი - ველოქს საქართველო,5.0,0,open,
საბა+,5.0,1,found,
ამერი დეველოპმენტი,5.0,0,open,სამშენებლო კომპანია
ფაქტორ გრუპ,5.0,0,found,სამშენებლო კომპანია
ნიუ ბილდინგ ბიზნესი,5.0,0,open,
PMG,5.0,0,found,სამშენებლო კომპანია
ბაუსტარი მმ,5.0,0,open,
თეიმურაზ ბიბილურიძე,4.5,2,found,
კ სამი,5.0,0,found,
კოდი,5.0,0,found,სამშენებლო კომპანია
სი ემ დი ფორტექსი,5.0,0,found,სამშენებლო კომპანია
I.M.J. Group,5.0,0,open,სამშენებლო კომპანია
ბრაუნი,4.6,22,found,
გემა,5.0,0,open,სამშენებლო კომპანია
ვუდ–გარდენი,5.0,0,open,
პრემიუმ ჰაუსი,5.0,0,open,უძრავი ქონების დეველოპერი
რემონტი2,5.0,0,open,
ჯი ჯი პოინტი,5.0,0,found,
არ სი ქონსთრაქშენ,4.0,1,found,
ახალი ვარსკვლავი 2015,5.0,0,found,
გრინ ლაიფ ქონსთრაქშენ,4.6,0,open,უძრავი ქონების დეველოპერი
იდეა მელიქიშვილი,5.0,0,open,უძრავი ქონების დეველოპერი
კვგ ჯგუფი,5.0,0,open,სამშენებლო კომპანია
